Company,Date,Link,Text,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-pageians-activity-6882612137534091264-7mmc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries Ltd wishes all followers a happy and safe New Year!

hashtag#pageindustries hashtag#pil hashtag#pageians hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia",No,No,No,Yes,No,"The post is a New Year's greeting and contains no information about the company's resource management, material use, energy, or water efficiency.",No,The post does not discuss any commitment or effectiveness towards reducing environmental emissions.,No,"There is no mention of new environmental technologies, eco-designed products, or innovations aimed at reducing environmental costs for customers.",No,"The post is a general holiday greeting and does not provide any information regarding job satisfaction, workplace safety, diversity, or development opportunities for the workforce.",No,There is no mention of human rights conventions or the company's effectiveness in respecting them.,No,"While the post wishes followers a 'happy and safe New Year,' this is a generic pleasantry and does not constitute explicit evidence of the company's commitment to being a good citizen, protecting public health, or respecting business ethics within the community context.",No,"The post does not discuss product quality, customer health and safety, integrity, or data privacy related to the company's goods and services.",No,The post does not contain any information related to corporate governance principles or management effectiveness.,No,There is no evidence regarding the treatment of shareholders or anti-takeover devices.,No,"The post is a simple New Year's greeting and does not communicate the integration of economic, social, and environmental dimensions into the company's decision-making processes or report on CSR strategy."
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6892756437462872064-OkPH?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries celebrated the 73rd Republic Day across all manufacturing facilities

hashtag#pageians hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#jockeyindia hashtag#speedo hashtag#speedoindia hashtag#73rdrepublicday",No,Yes,No,No,No,"The post describes a national holiday celebration and does not contain any explicit information about the company's performance in reducing material, energy, or water use, or improving supply chain management.",No,There is no mention of the company's commitment or effectiveness towards reducing environmental emissions in its production or operational processes.,No,"The post does not discuss new environmental technologies, eco-designed products, or the company's capacity to reduce environmental costs for customers.",Yes,"The post explicitly states that 'Page Industries celebrated the 73rd Republic Day across all manufacturing facilities' and uses the hashtag '#pageians'. This indicates an internal event involving the company's employees, which contributes to employee morale, engagement, and job satisfaction, reflecting aspects of workforce effectiveness.",No,There is no explicit evidence regarding the company's effectiveness in respecting fundamental human rights conventions.,No,"While Republic Day is a national event, the post focuses on an internal company celebration across its facilities rather than external community engagement, public health initiatives, or broader business ethics in relation to the community.",No,"The post does not contain any information about the company's capacity to produce quality goods and services, integrate customer health and safety, integrity, or data privacy.",No,There is no explicit evidence regarding the company's commitment or effectiveness towards following best practice corporate governance principles.,No,The post does not contain any information about the company's effectiveness towards equal treatment of shareholders or the use of anti-takeover devices.,No,"The post is a simple announcement of an internal celebration and does not communicate how the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes or report on CSR strategies or performance measures."
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-jockey-activity-6906540481568735232-Ah5M?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Happy Women’s Day!
We thank our 22000+ women employees who are the backbone of our organisation.

hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#womensday2022",No,Yes,No,No,No,"The post is a Women's Day greeting and does not contain any information related to the use of materials, energy, water, or supply chain management.",No,"There is no mention of environmental emissions, reduction efforts, or operational processes related to environmental impact.",No,"The post does not discuss new environmental technologies, eco-designed products, or efforts to reduce environmental costs for customers.",Yes,"The post explicitly thanks '22000+ women employees who are the backbone of our organisation,' directly acknowledging the contribution and importance of its workforce, particularly focusing on women employees, which aligns with aspects of diversity and job satisfaction within the workforce category.",No,"While celebrating women employees is positive, the post does not explicitly refer to fundamental human rights conventions or the company's effectiveness in respecting them.",No,"The post focuses internally on employees and does not discuss the company's commitment to being a good citizen, protecting public health, or respecting business ethics in the broader community.",No,"The post does not contain any information about product quality, customer health and safety, integrity, or data privacy.",No,"There is no mention of corporate governance principles, management effectiveness, or board structures.",No,The post does not provide any evidence regarding the treatment of shareholders or anti-takeover devices.,No,"The post is a celebratory message for Women's Day and does not communicate the integration of economic, social, and environmental dimensions into day-to-day decision-making processes or report on CSR strategy."
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6938380827089068032-l4eJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"We are Hiring!

To Apply, visit https://lnkd.in/gVNJ7Q5 for more details.

hashtag#pageians hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#workwithus hashtag#openpositions hashtag#vacancyjob",No,Yes,No,No,No,"The post is a hiring announcement and does not contain any information related to the company's use of materials, energy, water, or supply chain eco-efficiency.",No,There is no mention of the company's commitment or effectiveness towards reducing environmental emissions in its production or operational processes.,No,"The post does not discuss new environmental technologies, eco-designed products, or efforts to reduce environmental costs for customers.",Yes,"The post explicitly states 'We are Hiring!' and includes hashtags like '#workwithus' and '#openpositions', directly indicating activities related to the company's workforce, specifically recruitment and employment opportunities.",No,There is no mention of the company's effectiveness in respecting fundamental human rights conventions.,No,"The post does not discuss the company's commitment to being a good citizen, protecting public health, or respecting business ethics within the community.",No,"The post does not contain information about the company's capacity to produce quality goods and services, customer health and safety, integrity, or data privacy.",No,There is no mention of corporate governance principles or the effectiveness of the company's management practices.,No,The post does not provide any evidence regarding the equal treatment of shareholders or the use of anti-takeover devices.,No,"The post is a recruitment advertisement and does not communicate how the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes or report on CSR strategy."
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pil-pageindustries-activity-6940254376099753985-4pPc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Importance of Ergonomics in the Workplace

Not only does ergonomics increase comfort; it increases productivity and decreases stress. 

hashtag#pageians hashtag#pil hashtag#pageindustries hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#productivity hashtag#managingstress hashtag#ergonomics hashtag#ergonomicsolutions",No,Yes,No,No,No,"The post discusses workplace ergonomics and its benefits for employees, with no explicit mention of material, energy, or water use reduction, or supply chain eco-efficiency.",No,"There is no mention of environmental emissions, pollution reduction, or operational processes impacting the environment.",No,"The post focuses on the application of ergonomics for employee well-being and productivity, not on new environmental technologies, eco-designed products, or reducing environmental costs for customers.",Yes,"The post directly addresses the 'Importance of Ergonomics in the Workplace,' stating it 'increases comfort,' 'increases productivity,' and 'decreases stress.' These points are explicit evidence of a company's effectiveness in providing job satisfaction and a healthy and safe workplace for its workforce, aligning with the Workforce definition.",No,There is no explicit mention of fundamental human rights conventions or their respect within the company's operations.,No,"The post focuses on internal workplace conditions rather than the company's commitment to being a good citizen, protecting public health, or respecting business ethics in the broader community.",No,"The post does not discuss the quality, health and safety, integrity, or data privacy aspects of the company's goods and services for customers.",No,"There is no evidence related to corporate governance principles, board structures, or management effectiveness in that regard.",No,The post does not contain any information regarding the treatment of shareholders or anti-takeover devices.,No,"The post highlights a specific workplace practice (ergonomics) but does not communicate how the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes or report on its overall CSR strategy."
Titan Company Limited,2022-01-05T09:29:23.344Z,https://www.linkedin.com/posts/titan-industries_spotlightontitanians-lifeattitan-titancompany-activity-6884425574253756416-9LTi?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"5 Professional Goals for 2022

Narasimhan YL walked through the doors of Titan in 2005. Every day since then, his journey has been filled with moments of learning, growth and teamwork. As we step into 2022, he shares 5 pieces of professional advice to help carve your very own success story this year.

1. Always trust the journey. A solid process in place is half the job well done. 

2. Set realistic goals but with room for exploration/experimentation. 

3. Build and nurture your team based on trust. 

4. Take time out for self and family to balance out. Step back, reflect and refresh.

5. Last but surely not the least, enjoy every bit of the step with gratitude.

#SpotlightOnTitanians #LifeAtTitan #TitanCompany",No,Yes,No,No,No,"The post focuses on personal professional development advice and employee experience, not on the company's use of materials, energy, water, or supply chain eco-efficiency.",No,There is no mention of commitment or effectiveness toward reducing environmental emissions in production or operations.,No,"The advice is about professional growth and goal setting, not about new environmental technologies, eco-designed products, or reducing environmental costs for customers.",Yes,"The post highlights an employee's journey filled with 'learning, growth and teamwork' and provides advice such as 'Build and nurture your team based on trust' and 'Take time out for self and family to balance out.' These points directly relate to job satisfaction, development opportunities, and a healthy work-life balance for the workforce, aligning with the definition of this subcategory. The hashtags #LifeAtTitan and #SpotlightOnTitanians further reinforce the focus on employee experience.",No,There is no mention of fundamental human rights conventions or the company's effectiveness in respecting them.,No,"The advice is internal and personal professional guidance, not about the company's commitment to being a good citizen, protecting public health, or respecting business ethics in the broader community.",No,"The post does not discuss the quality of goods and services, customer health and safety, integrity, or data privacy related to products.",No,"The post provides personal professional advice, not information about the company's corporate governance principles, board structures, or management effectiveness at a corporate level.",No,There is no evidence regarding the treatment of shareholders or the use of anti-takeover devices.,No,"The post is an employee spotlight sharing personal professional advice, not a communication about the company's integration of economic, social, and environmental dimensions into its day-to-day decision-making processes or CSR reporting."
Titan Company Limited,2022-01-31T10:55:29.432Z,https://www.linkedin.com/posts/titan-industries_titancompany-lifeattitan-activity-6893869326902947840-AxHL?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"It's the last day of the month. And a Monday on top of that. How are you staying motivated today? Here are some ways to lift your spirits and set the tone for a great week ahead.

#TitanCompany #LifeAtTitan",No,Yes,No,No,No,"The post is a general motivational message and does not discuss the company's performance in reducing material, energy, or water use, nor improvements in supply chain management.",No,There is no mention of the company's commitment or effectiveness in reducing environmental emissions from its production or operational processes.,No,"The post does not discuss new environmental technologies, eco-designed products, or the company's capacity to reduce environmental costs for customers.",Yes,"The post directly addresses employee motivation and well-being by asking 'How are you staying motivated today?' and offering 'ways to lift your spirits.' The hashtag '#LifeAtTitan' further emphasizes an internal focus on the employee experience, which aligns with providing job satisfaction and a healthy workplace.",No,There is no discussion of fundamental human rights conventions or the company's effectiveness in respecting them.,No,"The post is a general motivational message for employees and does not discuss the company's commitment to being a good citizen, protecting public health, or respecting business ethics in the broader community.",No,"The post does not discuss the quality, health and safety, integrity, or data privacy aspects of the company's goods and services.",No,There is no mention of corporate governance principles or the effectiveness of the company's management practices.,No,The post does not contain any information regarding the equal treatment of shareholders or the use of anti-takeover devices.,No,"The post is a simple motivational message and does not communicate the integration of economic, social, and environmental dimensions into the company's decision-making processes or report on CSR strategies."
Titan Company Limited,2022-03-30T10:03:24.075Z,https://www.linkedin.com/posts/titan-industries_leadersinfocus-lifeattitan-titancompany-activity-6914874714410688512-4GlZ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"This month in #LeadersInFocus, we’ve got Sumant Sood - Head of Innovation, Titan Company Limited, talking about the things that make him tick and sharing tips for youngsters to stay ahead of the game.
#LifeAtTitan #TitanCompany",No,No,No,Yes,No,"The post introduces an individual, the Head of Innovation, and discusses career tips, with no explicit mention of material, energy, or water use reduction, or eco-efficient supply chain management.",No,There is no discussion about reducing environmental emissions from production or operational processes.,No,"While 'Head of Innovation' is mentioned, the post focuses on general innovation and career advice ('tips for youngsters to stay ahead of the game'), not specifically on the company's capacity to reduce environmental costs for customers through new environmental technologies, processes, or eco-designed products, as defined by this category.",No,"The post mentions 'LifeAtTitan' and an individual sharing tips, but it does not provide explicit evidence regarding job satisfaction, a healthy/safe workplace, diversity, equal opportunities, or development opportunities for the company's workforce as a whole.",No,There is no mention of respecting fundamental human rights conventions.,No,"The post does not discuss the company's commitment to being a good citizen, protecting public health, or respecting business ethics within the community.",No,"There is no discussion about the quality of goods/services, customer health/safety, integrity, or data privacy related to products.",No,The post mentions a 'Head of Innovation' but does not discuss corporate governance principles or the effectiveness of management in that context.,No,There is no evidence regarding the equal treatment of shareholders or the use of anti-takeover devices.,No,"The post is an introduction to an individual and career advice, not a communication about the company's integration of economic, social, and environmental dimensions into its decision-making processes or CSR reporting."
Titan Company Limited,2022-09-11T04:37:34.797Z,https://www.linkedin.com/posts/titan-industries_titan-go-green-launch-in-pantnagar-activity-6974586716619759616-oSH8?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Here's some sneak peak from our Titan Go Green launch in Pantnagar, Uttarakhand.

Vehicle courtesy : Tata Passenger Electric Mobility Limited


#TitanGoGreen #GoGreen #RunForSustainability #Marathoners #GoGreenRun #LifeAtTitan #VirtualRun #PlantATree #GoGreenMovement",Yes,Yes,No,No,Yes,"The post mentions 'Go Green', 'RunForSustainability', and 'PlantATree', which explicitly indicate efforts to reduce environmental impact and preserve natural resources. The use of 'Electric Mobility' vehicles also points to reducing reliance on fossil fuels, a key resource.",Yes,"The 'Go Green' and 'RunForSustainability' initiatives, combined with the explicit mention of 'Electric Mobility' vehicles, directly relate to reducing environmental emissions from operations and promoting cleaner transportation.",No,"While 'Electric Mobility' is mentioned, the post focuses on a launch event and general sustainability efforts rather than detailing Titan's specific capacity to innovate with new environmental technologies, eco-designed products, or processes that reduce environmental costs for customers.",No,"Although '#LifeAtTitan' is present, the post does not provide explicit evidence related to job satisfaction, a healthy/safe workplace, diversity, equal opportunities, or development opportunities for its workforce.",No,There is no mention of fundamental human rights conventions or the company's effectiveness in respecting them.,Yes,"The 'Titan Go Green launch in Pantnagar, Uttarakhand' and the 'PlantATree' initiative explicitly demonstrate the company's commitment to being a good citizen and contributing to the environmental well-being of the local community.",No,"The post is about an event and sustainability initiatives, not about the quality, health and safety, integrity, or data privacy aspects of Titan's products or services.",No,There is no evidence in the post regarding the company's commitment to or effectiveness in following best practice corporate governance principles.,No,"There is no mention of shareholder treatment, rights, or anti-takeover devices.",Yes,"The entire 'Titan Go Green' launch, 'RunForSustainability', and 'GoGreenMovement' initiatives are clear communications of how the company integrates environmental and social dimensions into its strategic decision-making and overall CSR strategy."
Titan Company Limited,2022-10-18T08:58:44.495Z,https://www.linkedin.com/posts/titan-industries_family-activity-6988060791123951616-kIIw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Second film in the Tanishq Jewellery’s series of festive films, ‘Pehli Diwali’ staying true to its narrative captures the essence of Pehli diwali with our new Family. The film breaks into the life of a Lieutenant in The Indian Air Force celebrating her first Diwali away from home with her new Air Force family. Through the film, Tanishq celebrates the growth stories the Indian woman is crafting for herself. 

#NayiShururat Ki #PehliDiwali",No,Yes,No,No,No,"The post describes a festive film and its narrative, with no explicit mention of material, energy, or water use reduction, nor improvements in supply chain eco-efficiency.",No,There is no discussion about reducing environmental emissions from production or operational processes.,No,"The post focuses on a film's narrative and social themes, not on new environmental technologies, eco-designed products, or reducing environmental costs for customers.",Yes,"The film 'celebrates the growth stories the Indian woman is crafting for herself' and features a female Lieutenant in the Indian Air Force, highlighting professional development and the supportive 'new Air Force family.' This aligns with providing development opportunities and job satisfaction within a workforce context.",No,There is no explicit mention of fundamental human rights conventions or their respect within the company's operations or supply chain.,No,"While the film depicts a 'new Air Force family' and a festive celebration, it does not explicitly discuss Tanishq's commitment to broader public health, business ethics, or general community engagement beyond the specific narrative of the film.",No,"The post is about a film and its message, not about the quality, safety, integrity, or data privacy aspects of Tanishq's products or services.",No,"The post does not provide information regarding corporate governance principles, management effectiveness, or board structures.",No,There is no evidence related to the equal treatment of shareholders or the use of anti-takeover devices.,Yes,"The post describes a 'series of festive films' by Tanishq that 'celebrates the growth stories the Indian woman is crafting for herself.' This demonstrates Tanishq's practice of integrating social dimensions (women's empowerment, professional growth) into its brand communication and strategic messaging, which is part of its CSR strategy."
