Company,Date,Link,Text,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-pageians-activity-6882612137534091264-7mmc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries Ltd wishes all followers a happy and safe New Year!

hashtag#pageindustries hashtag#pil hashtag#pageians hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia",No,No,No,Yes,No,"General New Year greeting with no mention of materials, energy, water efficiency, or supply chain eco-management.",No,No reference to operational or production emissions or reduction efforts.,No,"No discussion of environmental technologies, eco-design, or reducing environmental burdens for customers.",No,"No information on employee safety, satisfaction, diversity, or development.",No,No mention of policies or actions related to fundamental human rights.,No,"No explicit community engagement, public health, philanthropy, or business ethics content.",No,"No mention of product quality, safety, or data privacy.",No,No content on corporate governance practices or structures.,No,No mention of shareholder rights or related practices.,No,"No communication of integrating social, environmental, and financial dimensions or CSR reporting; it is a simple holiday greeting."
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6892756437462872064-OkPH?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries celebrated the 73rd Republic Day across all manufacturing facilities

hashtag#pageians hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#jockeyindia hashtag#speedo hashtag#speedoindia hashtag#73rdrepublicday",No,No,No,Yes,No,"The post mentions a Republic Day celebration and does not reference materials, energy, water efficiency, or supply chain eco-management.",No,"No mention of emissions, carbon reduction, or pollution control measures.",No,"No reference to environmental technologies, eco-design, or reducing environmental burdens for customers.",No,"While a celebration at manufacturing facilities is noted, there is no explicit evidence of job satisfaction programs, health and safety measures, diversity/equal opportunity, or employee development.",No,"No discussion of human rights policies, commitments, or practices.",No,"The celebration appears internal; there is no explicit corporate citizenship initiative, philanthropy, or public health engagement described.",No,"No information on product quality, customer health and safety, or data privacy.",No,"No information on corporate governance structures, policies, or practices.",No,"No mention of shareholder rights, engagement, or anti-takeover measures.",No,"No indication of CSR strategy, integration of ESG into decision-making, or reporting—only a cultural celebration announcement."
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-jockey-activity-6906540481568735232-Ah5M?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Happy Women’s Day!
We thank our 22000+ women employees who are the backbone of our organisation.

hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#womensday2022",No,Yes,No,No,No,"No mention of reducing materials, energy, water use, or supply chain eco-efficiency.",No,No reference to environmental emissions or reduction initiatives.,No,"No indication of environmental technologies, eco-design, or reducing customers’ environmental burdens.",Yes,"The post explicitly thanks 22,000+ women employees, indicating workforce composition and recognition related to diversity and employee appreciation.",No,No explicit mention of respecting fundamental human rights conventions or related policies.,No,"The content is an internal appreciation message, not community engagement, public health, or business ethics initiatives.",No,"No discussion of product quality, customer health and safety, or data privacy.",No,No information about corporate governance practices or structures.,No,No mention of shareholder rights or anti-takeover measures.,No,Does not communicate integration of ESG into decision-making or CSR reporting; it is a celebratory post.
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6938380827089068032-l4eJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"We are Hiring!

To Apply, visit https://lnkd.in/gVNJ7Q5 for more details.

hashtag#pageians hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#workwithus hashtag#openpositions hashtag#vacancyjob",No,No,No,Yes,No,"Generic hiring announcement; no mention of materials, energy, water use, or eco-efficiency.",No,No reference to operational or production emissions or reduction efforts.,No,"No mention of environmental technologies, eco-designed products, or reducing environmental burdens.",No,"Post only states hiring/open positions; no explicit evidence on safety, diversity/equal opportunity, training/development, or job satisfaction.",No,No content related to respecting fundamental human rights conventions.,No,"No indication of community engagement, public health initiatives, or business ethics topics.",No,"No mention of product/service quality, customer health and safety, or data privacy.",No,No information on corporate governance practices or structures.,No,"No mention of shareholder rights, treatment, or anti-takeover measures.",No,No communication about integrating social/environmental considerations into strategy or CSR reporting.
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pil-pageindustries-activity-6940254376099753985-4pPc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Importance of Ergonomics in the Workplace

Not only does ergonomics increase comfort; it increases productivity and decreases stress. 

hashtag#pageians hashtag#pil hashtag#pageindustries hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#productivity hashtag#managingstress hashtag#ergonomics hashtag#ergonomicsolutions",No,Yes,No,No,No,"The post does not mention materials, energy, water use, or supply chain eco-efficiency.",No,There is no reference to reducing environmental emissions or operational carbon impacts.,No,"Ergonomics is discussed in terms of comfort and productivity, not environmental technologies or eco-designed products.",Yes,"The post focuses on workplace ergonomics improving comfort, productivity, and reducing stress, which directly relates to a healthy and safe workplace and job satisfaction.",No,No mention of respecting fundamental human rights conventions or related policies.,No,"No discussion of community engagement, public health initiatives, or business ethics programs.",No,"No mention of product safety, quality management, or customer data/privacy.",No,No reference to corporate governance practices or structures.,No,No content on shareholder rights or anti-takeover measures.,No,The post does not communicate integrated CSR strategy or reporting; it is a brief note on workplace ergonomics.
Titan Company Limited,2022-01-05T09:29:23.344Z,https://www.linkedin.com/posts/titan-industries_spotlightontitanians-lifeattitan-titancompany-activity-6884425574253756416-9LTi?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"5 Professional Goals for 2022

Narasimhan YL walked through the doors of Titan in 2005. Every day since then, his journey has been filled with moments of learning, growth and teamwork. As we step into 2022, he shares 5 pieces of professional advice to help carve your very own success story this year.

1. Always trust the journey. A solid process in place is half the job well done. 

2. Set realistic goals but with room for exploration/experimentation. 

3. Build and nurture your team based on trust. 

4. Take time out for self and family to balance out. Step back, reflect and refresh.

5. Last but surely not the least, enjoy every bit of the step with gratitude.

#SpotlightOnTitanians #LifeAtTitan #TitanCompany",No,Yes,No,No,No,"No mention of reducing materials, energy, or water use, nor supply chain eco-efficiency.",No,"No reference to environmental emissions, carbon footprint, or reduction initiatives.",No,"No discussion of environmental technologies, eco-designed products, or reducing customers’ environmental burdens.",Yes,"The post focuses on professional development, team building based on trust, work-life balance, reflection, and job satisfaction—core themes of workforce well-being and development.",No,No explicit reference to respecting fundamental human rights conventions or related policies.,No,"No content about community citizenship, philanthropy, public health initiatives, or business ethics programs.",No,"No mention of product/service quality, customer health and safety, or data privacy.",No,"Does not address corporate governance structures, policies, or board practices.",No,"No mention of shareholder rights, engagement, or anti-takeover mechanisms.",No,"No communication about integrating economic, social, and environmental dimensions into decision-making or CSR reporting."
Titan Company Limited,2022-01-31T10:55:29.432Z,https://www.linkedin.com/posts/titan-industries_titancompany-lifeattitan-activity-6893869326902947840-AxHL?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"It's the last day of the month. And a Monday on top of that. How are you staying motivated today? Here are some ways to lift your spirits and set the tone for a great week ahead.

#TitanCompany #LifeAtTitan",No,No,No,Yes,No,"General motivational message with no mention of materials, energy, water efficiency, or supply chain resource management.",No,"No reference to environmental emissions, carbon footprint, or reduction initiatives.",No,"No discussion of environmental technologies, eco-design, or reducing environmental burdens for customers.",No,"Although motivational in tone and tagged #LifeAtTitan, it provides no explicit evidence of workplace safety, diversity, training, wellbeing programs, or job satisfaction initiatives.",No,"No mention of human rights policies, commitments, or compliance with conventions.",No,"No content about community engagement, philanthropy, public health, or business ethics initiatives.",No,"No information on product quality, customer health and safety, or data privacy.",No,"No details on corporate governance structures, policies, or practices.",No,"No reference to shareholder rights, treatment, or anti-takeover provisions.",No,"No communication of integrating environmental, social, and economic considerations or CSR reporting/strategy."
Titan Company Limited,2022-03-30T10:03:24.075Z,https://www.linkedin.com/posts/titan-industries_leadersinfocus-lifeattitan-titancompany-activity-6914874714410688512-4GlZ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"This month in #LeadersInFocus, we’ve got Sumant Sood - Head of Innovation, Titan Company Limited, talking about the things that make him tick and sharing tips for youngsters to stay ahead of the game.
#LifeAtTitan #TitanCompany",No,No,No,Yes,No,"The post does not mention materials, energy, water efficiency, or supply chain eco-management.",No,No reference to operational or production emissions or reduction efforts.,No,"Although a Head of Innovation is mentioned, there is no explicit link to environmental technologies or eco-designed products.",No,"The post is a leadership spotlight with general tips; it does not explicitly address employee safety, diversity, job satisfaction, or formal development programs.",No,No mention of human rights policies or practices.,No,"No explicit community engagement, public health initiatives, or business ethics content.",No,"No discussion of product quality, safety, or data privacy.",No,No content on corporate governance practices or structures.,No,No mention of shareholder rights or related practices.,No,"No communication about integrating social, environmental, and economic dimensions into decision-making or CSR reporting."
Titan Company Limited,2022-09-11T04:37:34.797Z,https://www.linkedin.com/posts/titan-industries_titan-go-green-launch-in-pantnagar-activity-6974586716619759616-oSH8?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Here's some sneak peak from our Titan Go Green launch in Pantnagar, Uttarakhand.

Vehicle courtesy : Tata Passenger Electric Mobility Limited


#TitanGoGreen #GoGreen #RunForSustainability #Marathoners #GoGreenRun #LifeAtTitan #VirtualRun #PlantATree #GoGreenMovement",No,Yes,No,No,No,"No mention of reducing materials, energy, or water use, nor supply chain eco-efficiency.",No,No explicit commitment or actions to reduce operational or production emissions; the EV 'vehicle courtesy' note does not state an emissions-reduction initiative.,No,"No reference to environmental technologies, eco-designed products, or innovations that reduce environmental burdens.",No,"No explicit content on employee health and safety, diversity, job satisfaction, or development.",No,No references to human rights policies or practices.,Yes,"Announces a 'Titan Go Green' launch event in Pantnagar with themes like a sustainability run and tree planting (#RunForSustainability, #PlantATree), indicating community engagement and public-interest environmental stewardship.",No,"No discussion of product quality, customer health and safety, or data privacy.",No,No mention of corporate governance practices or structures.,No,No content related to shareholder treatment or anti-takeover measures.,No,"No explicit statement about CSR policies, strategy integration, or reporting."
Titan Company Limited,2022-10-18T08:58:44.495Z,https://www.linkedin.com/posts/titan-industries_family-activity-6988060791123951616-kIIw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Second film in the Tanishq Jewellery’s series of festive films, ‘Pehli Diwali’ staying true to its narrative captures the essence of Pehli diwali with our new Family. The film breaks into the life of a Lieutenant in The Indian Air Force celebrating her first Diwali away from home with her new Air Force family. Through the film, Tanishq celebrates the growth stories the Indian woman is crafting for herself. 

#NayiShururat Ki #PehliDiwali",No,No,No,Yes,No,"The post promotes a festive film and does not mention materials, energy, water efficiency, or supply chain eco-management.",No,"No reference to operational or production emissions, carbon targets, or reduction initiatives.",No,"No mention of environmental technologies, eco-designed products, or innovations reducing environmental burdens.",No,"Although it highlights a narrative about a woman in the Air Force, it does not describe the company’s own employment practices, safety, diversity, or employee development.",No,There is no mention of policies or actions related to fundamental human rights or labor rights.,No,"The content is a marketing narrative around Diwali and does not describe corporate community programs, philanthropy, public health initiatives, or business ethics commitments.",No,"No discussion of product safety, quality standards, customer health, or data privacy.",No,"No reference to corporate governance structures, policies, or practices.",No,"No mention of shareholder rights, engagement, or anti-takeover mechanisms.",No,The post does not communicate integration of social/environmental considerations into business strategy or CSR reporting; it is a brand/advertising piece.
