Company,Date,Link,Text,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Resource_Use_confidence,Emissions_active,Emissions_reasoning,Emissions_confidence,Innovation_active,Innovation_reasoning,Innovation_confidence,Workforce_active,Workforce_reasoning,Workforce_confidence,Human_Rights_active,Human_Rights_reasoning,Human_Rights_confidence,Community_active,Community_reasoning,Community_confidence,Product_Responsibility_active,Product_Responsibility_reasoning,Product_Responsibility_confidence,Management_active,Management_reasoning,Management_confidence,Shareholders_active,Shareholders_reasoning,Shareholders_confidence,CSR_Strategy_active,CSR_Strategy_reasoning,CSR_Strategy_confidence
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-pageians-activity-6882612137534091264-7mmc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries Ltd wishes all followers a happy and safe New Year!

hashtag#pageindustries hashtag#pil hashtag#pageians hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia",No,No,No,Yes,No,"The post is a New Year's greeting and does not contain any information related to resource use, material reduction, energy/water efficiency, or supply chain management.",1,No,"The post is a New Year's greeting and does not discuss emission reduction, environmental impact, or operational processes.",1,No,"The post is a New Year's greeting and does not mention new environmental technologies, eco-designed products, or innovation aimed at reducing environmental costs for customers.",1,No,"The post is a generic New Year's greeting and does not provide any information about the company's workforce, job satisfaction, safety, diversity, or development opportunities.",1,No,The post is a New Year's greeting and does not address human rights conventions or their respect within the company's operations.,1,No,"The post is a general New Year's greeting to 'all followers' and does not provide explicit evidence of the company's commitment to being a good citizen, protecting public health, or respecting business ethics in a specific community context.",0.9,No,"The post is a New Year's greeting and does not discuss product quality, customer health and safety, integrity, or data privacy.",1,No,The post is a New Year's greeting and does not provide any information related to corporate governance principles or management practices.,1,No,"The post is a New Year's greeting and does not contain any information regarding shareholders, their equal treatment, or anti-takeover devices.",1,No,"The post is a generic New Year's greeting and does not communicate the company's CSR strategy, its integration of economic, social, and environmental dimensions, or CSR reporting.",1
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6892756437462872064-OkPH?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries celebrated the 73rd Republic Day across all manufacturing facilities

hashtag#pageians hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#jockeyindia hashtag#speedo hashtag#speedoindia hashtag#73rdrepublicday",No,Yes,No,No,No,"The post describes a national holiday celebration and does not mention the use of materials, energy, water, or improvements in supply chain management.",1,No,"There is no mention of reducing environmental emissions, production processes, or operational impacts.",1,No,"The post is about a celebration and does not discuss new environmental technologies, eco-designed products, or solutions to reduce environmental costs for customers.",1,Yes,"The celebration of Republic Day 'across all manufacturing facilities' for 'pageians' indicates an internal company event aimed at engaging its employees and fostering a positive work environment, which contributes to job satisfaction and overall workforce well-being.",0.8,No,There is no mention of fundamental human rights conventions or their respect within the company's operations.,1,No,"While Republic Day is a national event, the post describes an internal company celebration 'across all manufacturing facilities' rather than external community engagement, public health initiatives, or business ethics related to the broader community.",0.9,No,"The post does not discuss product quality, customer health and safety, integrity, or data privacy related to the company's goods and services.",1,No,"The post does not provide evidence regarding corporate governance principles, board structures, or management effectiveness.",1,No,"There is no mention of shareholder treatment, equal rights, or anti-takeover devices.",1,No,"The post is a simple announcement of a national holiday celebration and does not communicate the integration of economic, social, and environmental dimensions into day-to-day decision-making processes or report on CSR measures.",0.9
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-jockey-activity-6906540481568735232-Ah5M?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Happy Women’s Day!
We thank our 22000+ women employees who are the backbone of our organisation.

hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#womensday2022",No,Yes,No,No,No,"The post is a Women's Day greeting and does not discuss the use of materials, energy, water, or supply chain management.",1,No,"There is no mention of environmental emissions, reduction efforts, or operational processes.",1,No,"The post does not refer to new environmental technologies, eco-designed products, or reducing environmental costs for customers.",1,Yes,"The post explicitly thanks '22000+ women employees who are the backbone of our organisation,' directly acknowledging the importance and contribution of its workforce, which aligns with aspects of job satisfaction and valuing employees.",0.95,No,There is no mention of fundamental human rights conventions or their respect within the company's operations.,1,No,"The post focuses on internal employees rather than external community engagement, public health, or broader business ethics.",0.9,No,"The post does not discuss product quality, customer health and safety, integrity, or data privacy.",1,No,There is no evidence regarding corporate governance principles or management effectiveness in this context.,1,No,The post does not contain information about shareholder treatment or anti-takeover devices.,1,No,"While recognizing employees can be part of a company's social efforts, this post is a direct appreciation message rather than a communication about the integration of economic, social, and environmental dimensions into day-to-day decision-making processes or CSR reporting.",0.8
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6938380827089068032-l4eJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"We are Hiring!

To Apply, visit https://lnkd.in/gVNJ7Q5 for more details.

hashtag#pageians hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#workwithus hashtag#openpositions hashtag#vacancyjob",No,Yes,No,No,No,"The post is a job advertisement and does not contain any information related to the use of materials, energy, water, or supply chain management.",1,No,"There is no mention of environmental emissions, reduction efforts, or operational processes.",1,No,"The post does not discuss new environmental technologies, eco-designed products, or efforts to reduce environmental costs for customers.",1,Yes,"The post explicitly states 'We are Hiring!' and includes hashtags like '#workwithus', '#openpositions', and '#vacancyjob', which directly relates to a company's workforce by offering job and development opportunities.",0.95,No,There is no mention of fundamental human rights conventions or the company's effectiveness in respecting them.,1,No,"The post is a recruitment announcement and does not discuss the company's commitment to being a good citizen, protecting public health, or respecting business ethics within the community.",1,No,"The post does not discuss the quality of goods and services, customer health and safety, integrity, or data privacy related to products.",1,No,The post does not provide any information regarding corporate governance principles or management effectiveness.,1,No,There is no evidence regarding the treatment of shareholders or the use of anti-takeover devices.,1,No,"The post is a job advertisement and does not communicate the integration of economic, social, and environmental dimensions into day-to-day decision-making processes or report on CSR measures.",1
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pil-pageindustries-activity-6940254376099753985-4pPc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Importance of Ergonomics in the Workplace

Not only does ergonomics increase comfort; it increases productivity and decreases stress. 

hashtag#pageians hashtag#pil hashtag#pageindustries hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#productivity hashtag#managingstress hashtag#ergonomics hashtag#ergonomicsolutions",No,Yes,No,No,No,"The post discusses ergonomics in the workplace, not the reduction of materials, energy, or water, nor improvements in supply chain management for eco-efficiency.",1,No,There is no mention of reducing environmental emissions from production or operational processes.,1,No,"While ergonomics can be seen as an 'innovation' in workplace design, the definition for this category specifically refers to environmental technologies, eco-designed products, or reducing environmental costs for customers, which is not the focus here.",0.9,Yes,"The post explicitly states that ergonomics 'increases comfort,' 'increases productivity,' and 'decreases stress' in the workplace. These directly relate to providing a healthy and safe workplace and contributing to job satisfaction for the workforce.",1,No,There is no mention of fundamental human rights conventions or their respect within the company's operations.,1,No,"The post focuses on internal workplace conditions rather than the company's commitment to being a good citizen, protecting public health, or respecting business ethics in the broader community.",1,No,"The post does not discuss the quality, health and safety, integrity, or data privacy aspects of the company's products or services for customers.",1,No,There is no evidence regarding corporate governance principles or the effectiveness of management structures.,1,No,The post does not contain any information about the treatment of shareholders or anti-takeover devices.,1,No,"The post is a general statement about the benefits of ergonomics and does not communicate how the company integrates economic, social, and environmental dimensions into its day-to-day decision-making processes or report on CSR measures.",0.9
Titan Company Limited,2022-01-05T09:29:23.344Z,https://www.linkedin.com/posts/titan-industries_spotlightontitanians-lifeattitan-titancompany-activity-6884425574253756416-9LTi?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"5 Professional Goals for 2022

Narasimhan YL walked through the doors of Titan in 2005. Every day since then, his journey has been filled with moments of learning, growth and teamwork. As we step into 2022, he shares 5 pieces of professional advice to help carve your very own success story this year.

1. Always trust the journey. A solid process in place is half the job well done. 

2. Set realistic goals but with room for exploration/experimentation. 

3. Build and nurture your team based on trust. 

4. Take time out for self and family to balance out. Step back, reflect and refresh.

5. Last but surely not the least, enjoy every bit of the step with gratitude.

#SpotlightOnTitanians #LifeAtTitan #TitanCompany",No,Yes,No,No,No,"The post provides professional advice and does not discuss the company's use of materials, energy, water, or supply chain eco-efficiency.",1,No,"There is no mention of environmental emissions, reduction commitments, or operational processes related to emissions.",1,No,"The advice focuses on personal professional growth and teamwork, not on new environmental technologies, eco-designed products, or reducing environmental costs for customers.",0.95,Yes,"The post directly addresses professional goals and advice for employees, including 'learning, growth and teamwork,' 'Set realistic goals,' 'Build and nurture your team based on trust,' and 'Take time out for self and family to balance out.' These points explicitly relate to job satisfaction, development opportunities, and a healthy workplace for the workforce.",0.95,No,The post does not contain any explicit evidence regarding fundamental human rights conventions or their respect within the company's operations.,1,No,"The advice is internal to professional development and teamwork within the company, not about the company's commitment to being a good citizen, public health, or business ethics in the broader community.",0.9,No,"The post is about professional advice, not about the quality, safety, integrity, or data privacy aspects of the company's products or services.",1,No,"The advice is for individual professionals, not about corporate governance principles, board structures, or the effectiveness of overall company management.",1,No,"There is no mention of shareholder treatment, rights, or anti-takeover devices.",1,No,"The post is personal professional advice from an employee and does not communicate the company's integration of economic, social, and environmental dimensions into its day-to-day decision-making processes or CSR reporting.",0.9
Titan Company Limited,2022-01-31T10:55:29.432Z,https://www.linkedin.com/posts/titan-industries_titancompany-lifeattitan-activity-6893869326902947840-AxHL?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"It's the last day of the month. And a Monday on top of that. How are you staying motivated today? Here are some ways to lift your spirits and set the tone for a great week ahead.

#TitanCompany #LifeAtTitan",No,Yes,No,No,No,"The post is a general motivational message and does not discuss the use of materials, energy, water, or supply chain management.",1,No,"There is no mention of environmental emissions, reduction efforts, or operational processes.",1,No,"The post does not refer to new environmental technologies, eco-designed products, or reducing environmental costs for customers.",1,Yes,"The post directly addresses employee motivation ('How are you staying motivated today?') and offers ways 'to lift your spirits and set the tone for a great week ahead,' which explicitly relates to providing job satisfaction and employee well-being. The hashtag #LifeAtTitan further emphasizes this focus on the employee experience.",0.95,No,There is no mention of fundamental human rights conventions or their respect within the company's operations.,1,No,"The post focuses on internal employee motivation rather than the company's commitment to being a good citizen, public health, or business ethics in the broader community.",1,No,"The post does not discuss product quality, customer health and safety, integrity, or data privacy.",1,No,The post is a motivational message and does not address corporate governance principles or management effectiveness in that regard.,1,No,There is no evidence regarding the treatment of shareholders or anti-takeover devices.,1,No,"The post is a general internal-facing motivational message and does not communicate the integration of economic, social, and environmental dimensions into day-to-day decision-making processes or CSR reporting.",0.9
Titan Company Limited,2022-03-30T10:03:24.075Z,https://www.linkedin.com/posts/titan-industries_leadersinfocus-lifeattitan-titancompany-activity-6914874714410688512-4GlZ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"This month in #LeadersInFocus, we’ve got Sumant Sood - Head of Innovation, Titan Company Limited, talking about the things that make him tick and sharing tips for youngsters to stay ahead of the game.
#LifeAtTitan #TitanCompany",No,Yes,No,No,No,"The post does not contain any explicit mention of material, energy, or water use reduction, nor does it discuss supply chain eco-efficiency.",1,No,There is no evidence in the post regarding the company's commitment or effectiveness in reducing environmental emissions from its operations.,1,No,"While the post mentions a 'Head of Innovation,' the definition for this category specifically refers to 'environmental technologies and processes, or eco-designed products' to reduce environmental costs. The post discusses general innovation and tips for youngsters, not environmental innovation.",0.9,Yes,"The post features a company leader 'sharing tips for youngsters to stay ahead of the game,' which can be interpreted as contributing to development opportunities for the workforce. The hashtag #LifeAtTitan further reinforces an internal focus on employees and their growth.",0.8,No,The post does not discuss fundamental human rights conventions or the company's effectiveness in respecting them.,1,No,"There is no mention of the company's commitment to being a good citizen, protecting public health, or respecting business ethics in relation to the community.",1,No,"The post does not discuss product quality, customer health and safety, integrity, or data privacy related to the company's goods and services.",1,No,"While a 'Head of Innovation' is a management role, the post focuses on an individual's insights rather than the company's corporate governance principles or management effectiveness.",0.95,No,There is no evidence in the post regarding the equal treatment of shareholders or the use of anti-takeover devices.,1,No,"The post is an employee spotlight and does not communicate the integration of economic, social, and environmental dimensions into day-to-day decision-making processes or report on CSR measures.",0.9
Titan Company Limited,2022-09-11T04:37:34.797Z,https://www.linkedin.com/posts/titan-industries_titan-go-green-launch-in-pantnagar-activity-6974586716619759616-oSH8?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Here's some sneak peak from our Titan Go Green launch in Pantnagar, Uttarakhand.

Vehicle courtesy : Tata Passenger Electric Mobility Limited


#TitanGoGreen #GoGreen #RunForSustainability #Marathoners #GoGreenRun #LifeAtTitan #VirtualRun #PlantATree #GoGreenMovement",Yes,Yes,Yes,No,No,"While the post mentions 'Go Green' and 'PlantATree,' it does not explicitly detail efforts to reduce the use of materials, energy, or water in operational processes or supply chain management. The electric vehicle mention is more directly tied to emissions.",0.9,Yes,"The post explicitly mentions 'Vehicle courtesy : Tata Passenger Electric Mobility Limited,' indicating the use of electric vehicles, which directly contributes to reducing environmental emissions from transportation. The hashtags 'GoGreen' and 'RunForSustainability' further support a commitment to environmental impact reduction.",0.95,No,"The post describes an event and a movement, not the development or application of new environmental technologies, eco-designed products, or processes that reduce environmental costs for customers.",1,No,"While '#LifeAtTitan' is present, the post does not provide explicit evidence regarding job satisfaction, a healthy/safe workplace, diversity, equal opportunities, or development opportunities for the workforce.",0.9,No,There is no mention of fundamental human rights conventions or their respect within the company's operations or supply chain.,1,Yes,"The 'Titan Go Green launch,' 'RunForSustainability,' and 'PlantATree' initiatives are explicit examples of the company's commitment to being a good citizen and engaging with the community to protect the environment and public health. The event involves 'Marathoners' and a 'VirtualRun,' indicating public participation.",0.95,No,"The post does not discuss the quality, health and safety, integrity, or data privacy aspects of Titan's products or services.",1,No,"The post focuses on an environmental event and does not provide information about corporate governance principles, board structure, or management effectiveness in that regard.",1,No,There is no evidence regarding the equal treatment of shareholders or the use of anti-takeover devices.,1,Yes,"The 'Titan Go Green launch,' 'RunForSustainability,' 'PlantATree,' and 'GoGreenMovement' are clear communications of Titan's strategic initiatives to integrate environmental and social dimensions into its activities, aligning with the definition of CSR strategy and reporting.",0.95
Titan Company Limited,2022-10-18T08:58:44.495Z,https://www.linkedin.com/posts/titan-industries_family-activity-6988060791123951616-kIIw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Second film in the Tanishq Jewellery’s series of festive films, ‘Pehli Diwali’ staying true to its narrative captures the essence of Pehli diwali with our new Family. The film breaks into the life of a Lieutenant in The Indian Air Force celebrating her first Diwali away from home with her new Air Force family. Through the film, Tanishq celebrates the growth stories the Indian woman is crafting for herself. 

#NayiShururat Ki #PehliDiwali",No,Yes,Yes,No,No,"The post describes a festive film and its narrative, with no explicit mention of material, energy, or water use, or supply chain eco-efficiency.",1,No,"There is no mention of environmental emissions, reduction efforts, or operational processes related to environmental impact.",1,No,"The post focuses on a film's narrative and celebration of women's growth, not on new environmental technologies, eco-designed products, or reducing environmental costs for customers.",1,No,"While the film features a 'Lieutenant in The Indian Air Force' and celebrates 'growth stories the Indian woman is crafting for herself,' this refers to a broader societal context and a character in a film, not Tanishq's own workforce practices, job satisfaction, diversity, or development opportunities for its employees.",0.95,No,There is no explicit mention of fundamental human rights conventions or the company's effectiveness in respecting them.,1,Yes,"The film's narrative 'captures the essence of Pehli diwali with our new Family' and features a 'Lieutenant in The Indian Air Force celebrating her first Diwali away from home with her new Air Force family.' This highlights themes of belonging, support, and shared experience within a community, aligning with a company's commitment to being a 'good citizen' by celebrating positive societal values.",0.85,No,"The post is about a film and its message, not about the quality, safety, integrity, or data privacy aspects of Tanishq's jewellery products.",1,No,"There is no information provided regarding corporate governance principles, board structures, or management effectiveness.",1,No,"The post does not contain any evidence related to shareholder treatment, rights, or anti-takeover devices.",1,Yes,"The post describes a 'series of festive films' by Tanishq Jewellery with a specific 'narrative' that 'celebrates the growth stories the Indian woman is crafting for herself.' This demonstrates a strategic communication effort by the company to integrate social dimensions (women's empowerment, societal progress) into its brand messaging and public relations, which is a component of CSR strategy.",0.9
