Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Emissions_active,Innovation_active,Workforce_active,Human_Rights_active,Community_active,Product_Responsibility_active,Management_active,Shareholders_active,CSR_Strategy_active
Puma SE,2025,2025-11-27T09:00:01.925Z,"Don't call our Formstrip a stripe 👟 

Ever wondered what that strip of material along the side of our footwear is? It's one of our most recognisable trademarks - and it isn't just for design. The Formstrip's story began in the mid-20th century, when football boots transitioned from thick materials to lighter ones. This shift brought a new challenge, as athletes struggled with stability during quick direction changes. Rudolf Dassler found a solution: a strip of leather on the side of the shoe to provide extra lateral support. The Formstrip made its debut at the 1958 World Cup in Sweden. Today, you can find it across all our silos - whether it's a KING football boot, Deviate NITRO™ running shoe or even the classic SUEDE.

See? It’s more than just a stripe 🐾",https://www.linkedin.com/posts/puma_dont-call-our-formstrip-a-stripe-ever-activity-7399733731210539008-HrO3?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAABkg-BgBGuWunYBIUWO3k8jbCtw0MElaMcg,133,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Asics Corp,2025,2025-10-02T04:53:52.818Z,"What makes a great ASICS Store Manager? Leading with empathy and creating an environment that’s safe for people to grow and succeed as a team. 

Meet Sushma Shirur, Manager at the ASICS Homebush Store in suburban Sydney.

This one is dedicated to all our brilliant, customer-focused store employees 🙌

#TeamASICS",https://www.linkedin.com/posts/asics_teamasics-activity-7379378064612503552-VCBe?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAClmlz8BRPDzDkWc4Mx5VM_fhod8WRT60DA,50,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Rocky Brands Inc,2025,2025-06-30T14:00:03.382Z,Congratulations to the employees meeting work milestones in Q2! Thank you for your continued dedication to Rocky Brands!,https://www.linkedin.com/posts/rocky-brands-inc-_congratulations-to-the-employees-meeting-activity-7345451054953570305-rjpy?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFdYyd0BTSuVrxvJqZL4N_g1DlSykWVEEbE,18,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Lululemon Athletica Inc,2026,2026-02-25T21:09:32.623Z,"In 2005, Leah Taylor, VP, North America Retail - West, was a professional ballet dancer recovering from injuries and contemplating her next move, eager to find something she was equally as passionate about. With a Kinesiology degree and a love of movement, she took what she thought would be a temporary job at lululemon. “I loved the clothes I wore for dance and thought it would be a fun job.” She recalls.

What started as a part-time Educator position at the lululemon Robson St. store in Vancouver, evolved into a lifelong career. Leah discovered a deep passion for business and was inspired by the people around her. 

“I realized I have this passion for business and the culture. I was really impressed by the authenticity of the people I was around, how goal-oriented they were,” she says. “I thought, let me see what's here, how can I grow with this company?”

Leah's 20-year journey at lululemon is a story of trusting instinct, embracing challenge, and leading with impact. Read more below.",https://www.linkedin.com/posts/lululemon_in-2005-leah-taylor-vp-north-america-retail-activity-7432532226728148992-TEXN?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFRikiYBS2-2G4O4WUoa3CckCT7jAEDbkMU,171,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Magnera Corp,2025,2025-11-04T14:32:45.303Z,"Built by People, Powered by Connection 🌎👥

Across the globe, our success is shared. You’ve helped shape our journey, and together, we’ve made this year unforgettable. From bold ideas to everyday wins, passion, innovation, and curiosity have fueled us forward.

The images below celebrate some of the faces behind the progress—the Magnera team members who turn possibility into reality every day. Together, we’re not just building a business, we’re bettering the world by making real, meaningful impact for our customers and communities.

Thank you for being part of the Magnera community. Here’s to the connections that drive progress and to many more milestones ahead!

#OurSuccessIsConnected #PassionIsPower #CuriosityDrivesProgress #InnovationBelongsInEveryConversation  #HappyBirthdayMagnera",https://www.linkedin.com/posts/magneracorporation_our-success-is-connected-activity-7391482542778118144-EZTP?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w,109,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
PVH Corp,2026,2026-01-22T16:00:01.337Z,"ICYMI: Global Brand Ambassador Jung Kook wore Calvin Klein on his historic triple cover of Rolling Stone UK, Japan and Korea, featuring key pieces from Calvin Klein Collection Fall 2025 and the brand’s signature underwear and denim.  

This moment builds upon the K-pop icon’s relationship with the brand, having starred in multiple campaigns and attending the Spring 2026 Calvin Klein Collection show. 

Read the full feature in the December 2025 issue of Rolling Stone Japan and Korea and January 2026 issue of Rolling Stone UK. 
 
📸 Tayo Kuku Jr.",https://www.linkedin.com/posts/pvh_icymi-global-brand-ambassador-jung-kook-activity-7420133145678745601-pGK7?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACdwRloBsvQMFO5Hq4nZQD88Dn5VCuqcvz4,89,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Magnera Corp,2026,2026-02-17T14:30:17.773Z,"Magnera is proud to recognize our TYPAR brand as the winner of the 10th Annual NAHB Leading Suppliers Council (LSC) Spark Award, honoring innovation that drives the residential building industry forward. TYPAR®'s Clear Acrylic Flashing product earned this distinction for elevating performance standards where they matter most.👷

As the TYPAR® team heads to Orlando for the NAHB International Builders’ Show, attendees can explore the brand’s latest advancements in weather protection and new product innovations. Visit TYPAR® at Booth #W2966 to see this award‑winning solution up close and learn what’s next for the brand.

Can't make it to the show? Contact the TYPAR® Team at https://hubs.ly/Q043h11h0",https://www.linkedin.com/posts/magneracorporation_w2966-activity-7429532649880346624-G319?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w,105,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No
Aquafil SpA,2025,2025-05-22T12:51:51.454Z,"They told us it couldn’t be done. We did it anyway—boldly.

Back in the mid-2000s, when we first imagined a nylon that could be regenerated endlessly, many thought it was a dream too bold. Taking waste like fishing nets, industrial discards, and old carpets—and turning it into high-quality nylon? It sounded impossible.

But at Aquafil Group, we believed.

Not just in the technology.
We believed in a different way of doing business—one that takes what nobody wants and transforms it into something new and valuable.

I still remember the very first tonnes of ECONYL® nylon.
Few people knew what the #circulareconomy was.
Even fewer were willing to invest in it.

Today, I’m proud to share this milestone:
In the first quarter of 2025, ECONYL® brand nylon accounted for 60% of our total fiber revenues.

That means more than just a number.
It means 60% of what we sell in our fiber business is born from #waste, not fossil sources.
60% is driven by purpose, not compromise.
60% is proof that a different model is not only possible—it works.

Be bold. Make the impossible possible.",https://www.linkedin.com/posts/giuliobonazzi_circulareconomy-waste-activity-7331295508780453890-1NPC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADiJs-oB2gBSCUa5sYiLsU7cQUIjgxMRpLE,184,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes
Magnera Corp,2025,2025-11-18T14:46:08.058Z,"Congratulations to our Mason, Ohio team! We’re thrilled to celebrate two incredible milestones: 8 years with no lost time incidents and 1 year without a recordable injury 🎉 

These achievements reflect what is possible when we make safety personal. At Magnera, every team member has pledged to make safety a priority in every action, every day. Thank you, Mason team, for your unwavering commitment to maintaining a culture where safety is more than compliance—it’s care. 

Ready to join a team where safety comes first? Explore opportunities at https://hubs.la/Q03TLlj60

#SafetyisPersonal #OurSuccessisConnected #Magnera",https://www.linkedin.com/posts/magneracorporation_safetyispersonal-oursuccessisconnected-magnera-activity-7396559339894829056-vIIQ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w,91,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Marimekko Oyj,2025,2025-12-10T14:28:35.772Z,"It’s here: The Marimekko App! You can now download your backstage pass to the colorful world of Marimekko. 

🌸 behind-the-scenes content
🌸 print library
🌸 wishlists
🌸 style inspiration
🌸 all your Friends of Marimekko program details
🌸 and much more

Now available on iOS and Android in Europe, the United States, Australia and New Zealand. 

Download on the App store: https://lnkd.in/dt9tjZvG
Download on Google Play: https://lnkd.in/d5KqFzYd

#marimekko",https://www.linkedin.com/posts/marimekko_marimekko-activity-7404527459330678785-hLl8?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAE4W700Ba2ZH3TT3WFNdtt_cuNQs1kG3prE,68,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Salvatore Ferragamo SpA,2026,2026-02-19T15:46:21.967Z,"#FQLeaders ✨ Olympian Abby Wambach shared an ICON Award stage with Kobe Bryant and Peyton Manning, then went home worried about how she would pay her mortgage.

At the FQ Lounge during #MilanoCortina2026, Abby Wambach reflected on the moment ESPN honored all three athletes together. While her male peers stepped into financial security, Abby faced questions about healthcare, income, and what came next, a stark reminder that equal recognition does not guarantee equal reward.

That experience became her turning point. She vowed that no future member of the U.S. Women’s National Team would retire into that same uncertainty.",https://www.linkedin.com/posts/femalequotient_fqleaders-milanocortina2026-ugcPost-7429941758991429632-XH9Y?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEG_KQBv7J1sq3GMEnlpcPmY0omjvlA50I,98,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No
Wolverine World Wide Inc,2025,2025-12-30T13:57:33.038Z,"Looking ahead to 2026, our President & CEO, Christopher Hufnagel, shared his aspirations for the Company in a recent interview with Modern Retail:

✅ Elevating Saucony’s heritage into scalable success
✅ Expanding Merrell beyond the trail and unlocking new growth
✅ Reinventing Sweaty Betty with fresh categories and its rebellious roots
✅ Driving innovation in our Work Group (Wolverine Boots & Apparel + Cat Footwear) to reclaim leadership

The focus is clear: Driving sustainable growth and bold innovation across our portfolio. Simply put: ""There’s a lot to be excited about."" 

Let's go!

https://lnkd.in/er-vRTRR",https://www.linkedin.com/posts/wolverineworldwide_wolverine-worldwide-ceo-talks-growth-in-2026-activity-7411767403769987073-ghUu?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADO8j2wBd6aJNADqorSf5oF0hk54WZKJUJ0,93,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Kordsa Teknik Tekstil AS,2025,2025-07-11T11:24:45.353Z,"We believe that visibility and representation are key to building an inclusive culture.

For Mauricio Soares de Almeida, who works as a Customer Sales Representative at Kordsa, inclusive language means more than words it’s about making everyone feel seen, respected, and understood. By choosing gender-neutral and straightforward terms, we make space for all voices to be heard across our global teams.

#WeReinforceLife #ReinforceInclusion #ReinforceDiversity #ReinforceLanguage",https://www.linkedin.com/posts/kordsa_wereinforcelife-reinforceinclusion-reinforcediversity-activity-7349398238828838912-T5ZM?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACFk2oAB4HsW-myWfpqUOpb97fs2R8j-x7A,65,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Adidas AG,2026,2026-04-30T13:01:05.128Z,"This is one’s for the adidas archive: for the very first time, adidas is on a painted magazine cover and we're in love!  
 
No faces, just the crop from the thighs down. Posture, fabric, and the adistars doing the storytelling of the latest LE MILE Magazine cover. And the three stripes? They don’t try too hard. They sit in the scene like a quiet code doing their own magic.  
 
We’re into that. When three stripes speak louder than words.",https://www.linkedin.com/posts/adidas_this-isonesfor-the-adidas-archive-for-activity-7455602125583110144-j8dR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADSrhNYB6WX_yttMZS5zKuw4oAmgtZapKSg,79,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Adidas AG,2025,2025-06-04T10:00:03.458Z,"adidas x Minecraft present: adidas Adventurers add-on 🎮 
  
Earlier this year, we launched our collaboration with one of the best-selling games of all time.  
Starting today, players can download the free adidas Adventurers add-on and team up with three exclusive companions: the adidas Coach, Teammate, and Mascot.  
  
These characters will support Minecrafters on their adventures and give them quests packed with rewards. As players hit milestones, they will unlock loot boxes containing iconic adidas in-game gear with special powers – from water breathing and super jumps to walking on lava! 
  
And for your adventures IRL, gear up in our latest collection inspired by iconic mobs, featuring t-shirts, shorts, tracksuits, and sneakers in sizes for kids and teens: https://adidas.pub/3ZePDgp 
  
Ready to play? Let the adventure begin. 🔥",https://www.linkedin.com/posts/adidas_adidas-x-minecraft-present-adidas-adventurers-activity-7335968572789121024-y6Hk?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFtpU50B30XLLMtDrBfvxuEmy1aFP99wtqQ,126,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Coats Group PLC,2025,2025-09-11T12:58:39.530Z,"Our Global Accounts EMEA Team came together in Romania for a productive regional meeting and a visit to the Coats Romania factory.
 
The gathering was a valuable opportunity to exchange ideas, strengthen collaboration across regions, and witness the outstanding operational standards our colleagues have created.
 
A big thank you to the Coats Romania team for their warm welcome and commitment to excellence!
 
#GlobalTeam #Collaboration #OperationalExcellence",https://www.linkedin.com/posts/coats_globalteam-collaboration-operationalexcellence-activity-7371889917947437057-kK18?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,65,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Salvatore Ferragamo SpA,2025,2025-05-23T11:00:10.136Z,"We’re proud to share that Ferragamo has been included in the Financial Times and Statista’s 2025 list of Europe’s Climate Leaders, recognizing companies making the most significant progress in reducing greenhouse gas emissions and advancing sustainability.
Even more meaningful: Ferragamo ranks among the top 10 Italian companies overall, and 1st in Italy in the Textiles, Apparel & Luxury Goods sector.
The full ranking will be featured in the Financial Times print edition on May 22, and is already available online at this link: https://lnkd.in/dwJCaTKV

A heartfelt thank you to all Ferragamo people who contribute to this important journey every day.",https://www.linkedin.com/posts/salvatore-ferragamo_were-proud-to-share-that-ferragamo-has-been-activity-7331635045905895424-41xM?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEgJJw8BefmW2ngPsTOBI09zfDAq2oK3oSU,100,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes
Gabriel Holding A/S,2026,2026-04-10T07:38:47.792Z,"UMI’s voluminous diagonal twill drapes effortlessly over the Aura Sofa by Allermuir, transforming it into a true landscape of comfort.

Designed by Patrick Norguet, the Aura Sofa paired with the natural qualities of UMI wool embodies a sense of quiet luxury, where refined design meets understated elegance.

UMI brings a calm yet confident presence to your furniture, gently softening the space through the timeless beauty and tactile richness of wool.

Explore UMI https://lnkd.in/eUPjt57y",https://www.linkedin.com/posts/gabriel_umis-voluminous-diagonal-twill-drapes-effortlessly-activity-7448273261605347328-tn3U?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,73,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Adidas AG,2025,2025-10-28T16:54:40.654Z,"In a first for South African football 🎃, adidas and Orlando Pirates are entering the world of Roblox, opening a new digital playground where fans can connect, try on digital kits, and explore the official 25/26 jerseys in a truly immersive way.
 
This Halloween, Orlando Pirates come alive on Roblox, where you can customize your look in Catalog Avatar Creator, and experience football fandom like never before.
 
A launch that reimagines the future of fandom - where sport, culture, and innovation collide through play. Because pushing boundaries? It’s in our Bones. ⚫⚪💀",https://www.linkedin.com/posts/adidas_in-a-first-for-south-african-football-activity-7388981543689457664-pciB?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAD2I9Z8B375LXs5HhGiec5aEp0Oo3zrqv98,92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Magnera Corp,2026,2026-02-16T19:03:56.319Z,"Happy Lunar New Year from Magnera! 来自 Magnera 的农历新年快乐 

Wishing our global teams, partners, and communities a prosperous Lunar New Year. As we enter the Year of the Horse, we are reminded of the qualities this symbolizes: strength, perseverance, ambition, and forward momentum. These traits mirror the spirit our team members embody every day.

This season also reminds us that Our Success is Connected. Whether in Asia or anywhere else in the world, our achievements are built on collaboration and shared purpose. The diversity of our global team is one of our greatest strengths, and it is through this connection that we create lasting impact.

我们希望新的一年带给大家繁荣、成长和成功",https://www.linkedin.com/posts/magneracorporation_happy-lunar-new-year-from-magnera-%E6%9D%A5%E8%87%AA-magnera-activity-7429239126387752960-NHhh?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w,106,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Salvatore Ferragamo SpA,2025,2025-09-17T16:15:34.498Z,"Paloma was spotted in New York leaving the Harper’s Bazaar Icons dinner wearing a #FerragamoFW25 look by Maximilian Davis.

#InFerragamo
Styed by: Aly Cooper

https://lnkd.in/eNfgJ5Bj",https://www.linkedin.com/posts/salvatore-ferragamo_ferragamofw25-inferragamo-activity-7374113800708362240-Z_HS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEgJJw8BefmW2ngPsTOBI09zfDAq2oK3oSU,25,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
